"","province_code","house_cat","year","month","n","median","mean","stand_dev","variance","IQR","q25","q75","median_scaled","date"
"1","aceh-di","A",2016,1,73,5e+06,5335645.33009143,1748810.1523251,3058336948875.34,2550000,3750000,6300000,100,Jan 2016
"2","aceh-di","A",2016,2,97,5111111.11111111,5527877.0905666,2188313.44996728,4788715755307.7,2872222.22222222,3750000,6622222.22222222,102.222222222222,Feb 2016
"3","aceh-di","A",2016,3,69,5888888.88888889,6024127.65997097,2315678.03788953,5362364775163.91,2277777.77777778,4722222.22222222,7e+06,117.777777777778,Mar 2016
"4","aceh-di","A",2016,4,45,5555555.55555556,5481806.59983292,2291559.07383543,5251242988877.49,2997076.02339181,3947368.42105263,6944444.44444444,111.111111111111,Apr 2016
"5","aceh-di","A",2016,5,58,5777777.77777778,5742464.61090835,1920226.04455723,3687268062195.91,2208333.33333333,4458333.33333333,6666666.66666667,115.555555555556,May 2016
"6","aceh-di","A",2016,6,41,6e+06,5595234.87069792,1709312.75017703,2921750077917.75,2222222.22222222,4166666.66666667,6388888.88888889,120,Jun 2016
"7","aceh-di","A",2016,7,48,5833333.33333333,5593241.73280423,2401641.76535782,5767883169111.03,3054166.66666667,3862500,6916666.66666667,116.666666666667,Jul 2016
"8","aceh-di","A",2016,8,93,5595238.0952381,5638870.63020076,2039846.89366989,4160975349614.68,2750000,4250000,7e+06,111.904761904762,Aug 2016
"9","aceh-di","A",2016,9,58,5816666.66666667,5963741.71703409,2142255.51786204,4589258703810.37,2562500,4520833.33333333,7083333.33333333,116.333333333333,Sep 2016
"10","aceh-di","A",2016,10,127,5e+06,5449595.94059493,1900460.69965118,3611750870918.67,2111111.11111111,4166666.66666667,6277777.77777778,100,Oct 2016
"11","aceh-di","A",2016,11,94,5e+06,5224383.34729335,1688139.30630854,2849814317503.87,2086805.55555556,4135416.66666667,6222222.22222222,100,Nov 2016
"12","aceh-di","A",2016,12,68,5916666.66666667,5670761.86119244,2260803.46363014,5111232301162.03,2167361.11111111,4243750,6411111.11111111,118.333333333333,Dec 2016
"13","aceh-di","A",2017,1,124,5555555.55555556,5495112.07376414,1575191.62753254,2481228663448.62,1827887.53799392,4434523.80952381,6262411.34751773,111.111111111111,Jan 2017
"14","aceh-di","A",2017,2,116,5138888.88888889,5766520.82892379,2235826.3892145,4998919642707.94,2437500,4229166.66666667,6666666.66666667,102.777777777778,Feb 2017
"15","aceh-di","A",2017,3,100,5108695.65217391,5629788.93705152,2176369.7250157,4736585179964.92,2120833.33333333,4166666.66666667,6287500,102.173913043478,Mar 2017
"16","aceh-di","A",2017,4,136,5777777.77777778,7021056.76710739,3572531.63825226,12762982306313.4,4648989.8989899,4305555.55555556,8954545.45454546,115.555555555556,Apr 2017
"17","aceh-di","A",2017,5,146,5500000,6397537.98785251,2895045.56195156,8381288805775.41,2768353.17460318,4505952.38095238,7274305.55555556,110,May 2017
"18","aceh-di","A",2017,6,76,5488095.23809524,6621740.42172167,3095727.47127667,9583528576417.05,3807122.22560049,4676573.42657343,8483695.65217391,109.761904761905,Jun 2017
"19","aceh-di","B",2016,1,66,6132113.82113821,5862237.01938474,1957336.90460363,3831167758123.33,2420588.23529412,4500000,6920588.23529412,100,Jan 2016
"20","aceh-di","B",2016,2,132,5964285.71428571,5801107.61848145,1907219.99564785,3637488111798.99,2618262.98701299,4404464.28571429,7022727.27272727,97.2631279890146,Feb 2016
"21","aceh-di","B",2016,3,127,6363636.36363636,5960216.97299758,1469024.97926606,2158034389707.64,1892045.45454546,5e+06,6892045.45454546,103.775574773255,Mar 2016
"22","aceh-di","B",2016,4,96,6300000,5876123.88484599,1446334.1669759,2091882522561.87,2004120.87912088,4781593.40659341,6785714.28571429,102.737819025522,Apr 2016
"23","aceh-di","B",2016,5,119,6e+06,6004118.17262936,1852678.93666837,3432419242374.64,2285984.84848485,4755681.81818182,7041666.66666667,97.8455419290686,May 2016
"24","aceh-di","B",2016,6,72,6363636.36363636,6233293.41017428,1568827.07535109,2461218392354.67,1434065.93406593,5708791.20879121,7142857.14285714,103.775574773255,Jun 2016
"25","aceh-di","B",2016,7,69,5714285.71428571,5729294.81303928,1537149.03417973,2362827153279.67,1507936.50793651,5e+06,6507936.50793651,93.1862304086368,Jul 2016
"26","aceh-di","B",2016,8,152,6160256.41025641,6201949.27810101,1614351.63780577,2606131210486.16,1888888.88888889,5333333.33333333,7222222.22222222,100.458937813926,Aug 2016
"27","aceh-di","B",2016,9,91,5625000,5681333.38068968,1823036.41953119,3323461786937.11,2648809.52380952,4226190.47619048,6875000,91.7301955585018,Sep 2016
"28","aceh-di","B",2016,10,153,6e+06,5894738.38388225,1727903.09155129,2985649093792.51,2259615.38461538,4615384.61538462,6875000,97.8455419290686,Oct 2016
"29","aceh-di","B",2016,11,175,6181818.18181818,6179850.06380029,1486169.92659314,2208701050709.87,1829914.52991453,5414529.91452991,7244444.44444444,100.810558351162,Nov 2016
